"filename", "language", "JSON", "JSON with Comments", "XML", "HTML", "JavaScript", "CSS", "TypeScript", "Markdown", "MDX", "Log", "comment", "blank", "total"
"d:\Angular_App\Markdown_Storybook\.storybook\main.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
"d:\Angular_App\Markdown_Storybook\.storybook\preview.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"d:\Angular_App\Markdown_Storybook\.storybook\tsconfig.json", "JSON with Comments", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Angular_App\Markdown_Storybook\.storybook\typings.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Angular_App\Markdown_Storybook\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 14, 28
"d:\Angular_App\Markdown_Storybook\angular.json", "JSON", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 144
"d:\Angular_App\Markdown_Storybook\build-storybook.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 481, 0, 23, 504
"d:\Angular_App\Markdown_Storybook\documentation.json", "JSON", 1569, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1569
"d:\Angular_App\Markdown_Storybook\package-lock.json", "JSON", 40317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40318
"d:\Angular_App\Markdown_Storybook\package.json", "JSON", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 61
"d:\Angular_App\Markdown_Storybook\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"d:\Angular_App\Markdown_Storybook\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Angular_App\Markdown_Storybook\src\app\app.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Angular_App\Markdown_Storybook\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 5, 30
"d:\Angular_App\Markdown_Storybook\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"d:\Angular_App\Markdown_Storybook\src\app\app.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
"d:\Angular_App\Markdown_Storybook\src\app\markdown\markdown.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Angular_App\Markdown_Storybook\src\app\markdown\markdown.component.html", "HTML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Angular_App\Markdown_Storybook\src\app\markdown\markdown.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
"d:\Angular_App\Markdown_Storybook\src\app\markdown\markdown.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 12, 32
"d:\Angular_App\Markdown_Storybook\src\app\markdown\markdown.stories.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 5, 8, 56
"d:\Angular_App\Markdown_Storybook\src\app\mermaid\mermaid.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Angular_App\Markdown_Storybook\src\app\mermaid\mermaid.component.html", "HTML", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Angular_App\Markdown_Storybook\src\app\mermaid\mermaid.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"d:\Angular_App\Markdown_Storybook\src\app\mermaid\mermaid.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"d:\Angular_App\Markdown_Storybook\src\app\mermaid\mermaid.stories.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 5, 8, 56
"d:\Angular_App\Markdown_Storybook\src\app\task\task.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Angular_App\Markdown_Storybook\src\app\task\task.component.html", "HTML", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\Angular_App\Markdown_Storybook\src\app\task\task.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"d:\Angular_App\Markdown_Storybook\src\app\task\task.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 3, 19
"d:\Angular_App\Markdown_Storybook\src\app\task\task.mdx", "MDX", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 7, 18
"d:\Angular_App\Markdown_Storybook\src\app\task\task.stories.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 4, 9, 65
"d:\Angular_App\Markdown_Storybook\src\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\Angular_App\Markdown_Storybook\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 8
"d:\Angular_App\Markdown_Storybook\src\stories\.eslintrc.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Angular_App\Markdown_Storybook\src\stories\Button.stories.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 2, 7, 52
