"filename", "language", "JSON", "JSON with Comments", "XML", "HTML", "JavaScript", "CSS", "Markdown", "Log", "TypeScript", "comment", "blank", "total"
"d:\Angular_App\Markdown_Storybook\.storybook\main.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, -17, 0, -1, -18
"d:\Angular_App\Markdown_Storybook\.storybook\preview.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, -3, -19
"d:\Angular_App\Markdown_Storybook\.storybook\tsconfig.json", "JSON with Comments", 0, -11, 0, 0, 0, 0, 0, 0, 0, 0, -1, -12
"d:\Angular_App\Markdown_Storybook\.storybook\typings.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -1, -5
"d:\Angular_App\Markdown_Storybook\README.md", "Markdown", 0, 0, 0, 0, 0, 0, -14, 0, 0, 0, -14, -28
"d:\Angular_App\Markdown_Storybook\angular.json", "JSON", -138, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -144
"d:\Angular_App\Markdown_Storybook\build-storybook.log", "Log", 0, 0, 0, 0, 0, 0, 0, -481, 0, 0, -23, -504
"d:\Angular_App\Markdown_Storybook\documentation.json", "JSON", -1569, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1569
"d:\Angular_App\Markdown_Storybook\package-lock.json", "JSON", -40317, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -40318
"d:\Angular_App\Markdown_Storybook\package.json", "JSON", -60, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -61
"d:\Angular_App\Markdown_Storybook\storybook-static\favicon.svg", "XML", 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, -7
"d:\Angular_App\Markdown_Storybook\storybook-static\index.html", "HTML", 0, 0, 0, -71, 0, 0, 0, 0, 0, 0, -60, -131
"d:\Angular_App\Markdown_Storybook\storybook-static\project.json", "JSON", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-addons\essentials-actions-2\manager-bundle.js", "JavaScript", 0, 0, 0, 0, -3, 0, 0, 0, 0, -1, -1, -5
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-addons\essentials-backgrounds-3\manager-bundle.js", "JavaScript", 0, 0, 0, 0, -12, 0, 0, 0, 0, -1, -1, -14
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-addons\essentials-controls-1\manager-bundle.js", "JavaScript", 0, 0, 0, 0, -54, 0, 0, 0, 0, -59, -5, -118
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-addons\essentials-measure-6\manager-bundle.js", "JavaScript", 0, 0, 0, 0, -3, 0, 0, 0, 0, -1, -1, -5
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-addons\essentials-outline-7\manager-bundle.js", "JavaScript", 0, 0, 0, 0, -3, 0, 0, 0, 0, -1, -1, -5
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-addons\essentials-toolbars-5\manager-bundle.js", "JavaScript", 0, 0, 0, 0, -3, 0, 0, 0, 0, -1, -1, -5
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-addons\essentials-viewport-4\manager-bundle.js", "JavaScript", 0, 0, 0, 0, -3, 0, 0, 0, 0, -1, -1, -5
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-addons\interactions-8\manager-bundle.js", "JavaScript", 0, 0, 0, 0, -26, 0, 0, 0, 0, -3, -3, -32
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-addons\links-0\manager-bundle.js", "JavaScript", 0, 0, 0, 0, -3, 0, 0, 0, 0, -1, -1, -5
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-common-assets\fonts.css", "CSS", 0, 0, 0, 0, 0, -28, 0, 0, 0, 0, -4, -32
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\GlobalScrollAreaStyles-XIHNDKUY-F4JIPIHL.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -2
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\OverlayScrollbars-VAV6LJAB-K3TMPSMY.js", "JavaScript", 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, -1, -7
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\WithTooltip-FBT32F6Q-7QJ37TCY.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -2
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\chunk-3FAXWWKG.js", "JavaScript", 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, -5, -16
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\chunk-54KM6K5Z.js", "JavaScript", 0, 0, 0, 0, -7, 0, 0, 0, 0, 0, -1, -8
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\chunk-AS2AMEUR.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -2
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\chunk-F3MVQVF6.js", "JavaScript", 0, 0, 0, 0, -78, 0, 0, 0, 0, -56, -74, -208
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\chunk-FENICTK6.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -2
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\chunk-GQDEE62S.js", "JavaScript", 0, 0, 0, 0, -242, 0, 0, 0, 0, -2, -163, -407
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\chunk-PUVLCKJJ.js", "JavaScript", 0, 0, 0, 0, -90, 0, 0, 0, 0, -10, -41, -141
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\chunk-QPL63VNK.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -2
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\formatter-S4K5WUZV-4LPR5OBX.js", "JavaScript", 0, 0, 0, 0, -146, 0, 0, 0, 0, 0, -11, -157
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\globals.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -2
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\index.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -2
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\runtime.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -2
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-manager\syntaxhighlighter-QTQ2UBB4-F5YUFYAB.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -2
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-preview\globals.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -2
"d:\Angular_App\Markdown_Storybook\storybook-static\sb-preview\runtime.js", "JavaScript", 0, 0, 0, 0, -85, 0, 0, 0, 0, -2, -19, -106
"d:\Angular_App\Markdown_Storybook\tsconfig.app.json", "JSON", -13, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -15
"d:\Angular_App\Markdown_Storybook\tsconfig.json", "JSON with Comments", 0, -32, 0, 0, 0, 0, 0, 0, 0, -1, -1, -34
"d:\Angular_App\Markdown_Storybook\tsconfig.spec.json", "JSON", -13, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -15
"Total", "-", -42111, -43, -7, -71, -785, -28, -14, -481, -37, -142, -459, -44178
