"filename", "language", "TypeScript", "MDX", "HTML", "CSS", "comment", "blank", "total"
"d:\Angular_App\Markdown_Storybook\src\app\components\task-list\pure-task-list.component.ts", "TypeScript", 51, 0, 0, 0, 6, 5, 62
"d:\Angular_App\Markdown_Storybook\src\app\components\task-list\pure-task-list.stories.ts", "TypeScript", 60, 0, 0, 0, 5, 29, 94
"d:\Angular_App\Markdown_Storybook\src\app\components\task-list\task-list.component.html", "HTML", 0, 0, 25, 0, 11, 1, 37
"d:\Angular_App\Markdown_Storybook\src\app\components\task-list\task-list.component.ts", "TypeScript", 26, 0, 0, 0, 6, 5, 37
"d:\Angular_App\Markdown_Storybook\src\app\components\task-list\task-list.mdx", "MDX", 0, 10, 0, 0, 0, 7, 17
"d:\Angular_App\Markdown_Storybook\src\app\components\task-styles\task-styles.component.css", "CSS", 0, 0, 0, 0, 0, -1, -1
"d:\Angular_App\Markdown_Storybook\src\app\components\task-styles\task-styles.component.html", "HTML", 0, 0, -38, 0, 0, -4, -42
"d:\Angular_App\Markdown_Storybook\src\app\components\task-styles\task-styles.component.spec.ts", "TypeScript", -17, 0, 0, 0, 0, -5, -22
"d:\Angular_App\Markdown_Storybook\src\app\components\task-styles\task-styles.component.ts", "TypeScript", -21, 0, 0, 0, -2, -13, -36
"d:\Angular_App\Markdown_Storybook\src\app\components\task-styles\task-styles.mdx", "MDX", 0, -11, 0, 0, 0, -7, -18
"d:\Angular_App\Markdown_Storybook\src\app\components\task-styles\task-styles.stories.ts", "TypeScript", -48, 0, 0, 0, -15, -12, -75
"Total", "-", 51, -1, -13, 0, 11, 5, 53
